Question,A,B,C,D,Answer
Rennie Boy believes that everything that happens in this world has a cause or a reason. What scientific attitude is seen in his actions?,curiosity,firm set of beliefs,honesty,critical-mindedness,B
"_____ it never recycled any waste materials, the company’s environmental record was not perfect.",For,In that,With,Due to,B
Our guest of honor was a loquacious speaker. Loquacious means:,reserved,verbose,reticent,spiritless,B
The sociological concept of home for most Filipino is the presence of _____.,families with boarders in addition to the family members,nuclear family and extended families,families with illegal light and water connections,families with pet dogs and cats,B
"""A man is known by the company he keeps."" This is an example of a _____.",report,rule,poem,proverb,D
Which of the following is the ultimate purpose of Human Right Education?,to identify threats of human rights,to generate awareness of one’s basic rights,to check on abuses in the exercise of human rights,to understand and change conditions which give rise to human rights violation,B
The members of the federation of cooperatives are _____.,primaries,secondaries,natural persons,primary and secondary cooperatives,D
Be sure to fill _____ the forms correctly.,over,in,on,with,B
Vascular tissue that transports water in leaves connects directly to which of the following?,meristems in the root tip,pistils in the flower,root hairs in the epidermis,xylem in the stem,D
Which statement is true?,5–√ is a rational number.,0 is a positive number,3–√ is a real number.,4–√ is an irrational number,C
"If a die is rolled, what is the probability of getting a number divisible by 2?",6-Jan,2-Jan,4-Jan,3-Jan,B
Why do mothers usually soak meat in pineapple juice before cooking it?,It makes meat tender.,It removes the bad odor.,It improves the taste of meat.,It preserves the natural taste of meat.,A
What is considered the earliest form of writing in the Philippines?,Abakada,Roman alphabet,Alibata,Balitaw,C
Most asteroids are found between the two planets:,Venus and Earth,Earth and Mars,Mars and Jupiter,Jupiter and Saturn,C
A wood frame for pouring concrete has an interior perimeter of 14 meters. Its length is one meter greater than its width. What length of wire should be cut for each brace?,6 m,7 m,8 m,12 m,A
New students at the shop should bring _____.,hammers wrenches and screwdrivers,"hammers, wrenches, and screwdrivers","hammers, wrenches and screwdrivers","hammers wrenches, and screwdrivers",B
The army’s retreat was IGNOMINICUSFUL. This means _____.,reputable,honorable,shameful,mysterious,C
Ibigay ang tayutay na nagamit sa sumusunod: Ikaw ang payong ng aking buhay - silungan ng init - hatid ay proteksyon sa panahong masungit.,simile,personipikasyon,metapora,paglilipat-wika,C
Which of the following BEST demonstrates the greenhouse principle?,a heated aquarium,a car with rolled-up windows,a microwave oven,a solar battery-powered calculator,B
The bank was swarmed with depositors. The bank ______,declared an open house,declared dividends,declared a holiday,declared bankruptcy,D
